Sharing_ID,Source_ID,Category,ChatGPT_Title,ChatGPT_Model,NumberOfPrompts,end_prompt_emotion,end_answer_emotion
SHARE_116,PullRequest_95,PullRequest,SyntaxError: Unexpected token 'export' - game.js.,Default,2.0,neutral,satisfaction
SHARE_117,PullRequest_96,PullRequest,Unit Test Setup: Jest,Default,2.0,frustration,satisfaction
SHARE_119,PullRequest_98,PullRequest,Separate Files & Jest Test,Default,2.0,neutral,satisfaction
SHARE_120,PullRequest_99,PullRequest,Fixing Point Generation Issue,Default,4.0,frustration,satisfaction
SHARE_123,PullRequest_102,PullRequest,Remove Empty Strings (Go),Default,2.0,frustration,satisfaction
SHARE_124,PullRequest_103,PullRequest,1920s Compiler Errors Revamp,Default,3.0,neutral,frustration
SHARE_125,PullRequest_104,PullRequest,Package Install Error,Default,3.0,caution,caution
SHARE_126,PullRequest_105,PullRequest,Adjusting Camera Distortion Parameters,Default,7.0,frustration,satisfaction
SHARE_127,PullRequest_106,PullRequest,Key for Router-View Re-Renders,Default,1.0,frustration,caution
SHARE_129,PullRequest_108,PullRequest,Bug: Émile not selected.,Default,2.0,frustration,caution
SHARE_130,PullRequest_109,PullRequest,Cypress Torrent File Test,Default,8.0,caution,caution
SHARE_132,PullRequest_111,PullRequest,Deleted_at still preferred?,Default,4.0,frustration,satisfaction
SHARE_133,PullRequest_112,PullRequest,Keycloak Health Check,Default,2.0,frustration,satisfaction
SHARE_134,PullRequest_113,PullRequest,OpenAPI oneOf vs anyOf,Default,1.0,frustration,satisfaction
SHARE_135,PullRequest_114,PullRequest,デフォルトのダイアログフォーカス,Default,1.0,frustration,frustration
SHARE_138,PullRequest_116,PullRequest,Angular component click accessibility,Default,2.0,frustration,caution
SHARE_139,PullRequest_117,PullRequest,Convert timestamp to Unix (C++),Default,6.0,frustration,satisfaction
SHARE_141,PullRequest_119,PullRequest,Basho Object for Sumo,Default,6.0,neutral,neutral
SHARE_144,PullRequest_122,PullRequest,No Package-lock.json Error,Default,1.0,frustration,caution
SHARE_146,PullRequest_124,PullRequest,Git分支命令及存储空间,Default,2.0,frustration,frustration
SHARE_147,PullRequest_124,PullRequest,Git 大文件管理,Default,2.0,neutral,frustration
SHARE_148,PullRequest_125,PullRequest,Debugging Console Errors,Default,4.0,caution,caution
SHARE_151,PullRequest_128,PullRequest,GUI Desktop Applications Hierarchy,Default,3.0,satisfaction,satisfaction
SHARE_152,PullRequest_129,PullRequest,Windowsでのpre-commitの問題解決方法,Default,4.0,frustration,frustration
SHARE_153,PullRequest_130,PullRequest,Box IoU Implementations,Default,4.0,frustration,satisfaction
SHARE_155,PullRequest_131,PullRequest,Cannot validate self-signed certificate.,Default,1.0,frustration,caution
SHARE_158,PullRequest_134,PullRequest,Fix localStorage Rendering Issue,Default,7.0,frustration,frustration
SHARE_159,PullRequest_135,PullRequest,Local Storage Rikishi Game,Default,8.0,frustration,caution
SHARE_160,PullRequest_136,PullRequest,Set Endpoint URL Globally.,Default,10.0,frustration,caution
SHARE_162,PullRequest_138,PullRequest,用語の選択,Default,1.0,frustration,frustration
SHARE_163,PullRequest_139,PullRequest,GPU Quantization Implementation,Default,2.0,frustration,satisfaction
SHARE_164,PullRequest_139,PullRequest,Metal Quantization Kernel Issues,Default,2.0,frustration,caution
SHARE_165,PullRequest_140,PullRequest,Chunk Extraction & Composition,Default,1.0,neutral,satisfaction
SHARE_166,PullRequest_140,PullRequest,New chat,Default,34.0,frustration,satisfaction
SHARE_167,PullRequest_141,PullRequest,Module Error in Browser.,Default,16.0,frustration,frustration
SHARE_170,PullRequest_144,PullRequest,Understanding Grid Size Calculation,Default,14.0,frustration,caution
SHARE_176,PullRequest_150,PullRequest,GitHub Action for Sourcemaps,,9.0,frustration,satisfaction
SHARE_195,PullRequest_159,PullRequest,Create a script to create a new post,,8.0,frustration,satisfaction
SHARE_202,PullRequest_166,PullRequest,Image slideshow with `feh`,,20.0,caution,satisfaction
SHARE_209,PullRequest_172,PullRequest,React学習1,,10.0,frustration,satisfaction
SHARE_245,PullRequest_205,PullRequest,Latin1 encoding explained,,4.0,frustration,caution
SHARE_287,PullRequest_241,PullRequest,URL Object for Fetch,,1.0,neutral,satisfaction
SHARE_373,PullRequest_312,PullRequest,Fix npm ERR! notarget.,Default,2.0,frustration,caution
SHARE_374,PullRequest_313,PullRequest,Backup Bench Master Protocols,Default,2.0,frustration,caution
SHARE_419,PullRequest_353,PullRequest,React Speech Recognition Hook,Default,1.0,frustration,satisfaction
SHARE_420,PullRequest_354,PullRequest,Java 단일 객체 연산자,Default,1.0,neutral,neutral
SHARE_434,PullRequest_367,PullRequest,Build New Image,Default,2.0,neutral,caution
SHARE_438,PullRequest_371,PullRequest,Capture div click event.,Default,2.0,frustration,frustration
SHARE_560,PullRequest_472,PullRequest,이벤트 리스너 제거 방법,Default,7.0,neutral,neutral
SHARE_574,PullRequest_484,PullRequest,Restructured OpenAI Email Generation,Default,167.0,frustration,satisfaction
SHARE_653,PullRequest_556,PullRequest,Stream Multiple WAV Chunks,Default,3.0,frustration,satisfaction
SHARE_750,PullRequest_639,PullRequest,Fixing DELETE Statement,Default,1.0,frustration,satisfaction
SHARE_754,PullRequest_641,PullRequest,Mood Analysis & Response,Default,30.0,satisfaction,satisfaction
SHARE_755,PullRequest_642,PullRequest,Refactor State Handling,Default,1.0,caution,neutral
SHARE_799,PullRequest_680,PullRequest,Fixing Point Deserialization,Default,1.0,frustration,satisfaction
SHARE_890,PullRequest_762,PullRequest,Pell Grant Income Variable,Default,3.0,frustration,satisfaction
SHARE_897,PullRequest_769,PullRequest,Bot Double Posting Solution,Default,1.0,frustration,frustration
SHARE_925,PullRequest_794,PullRequest,Variable Names for Backup,Default,1.0,frustration,caution
SHARE_949,PullRequest_816,PullRequest,Translate Technical Documentation,Default,4.0,frustration,satisfaction
SHARE_953,PullRequest_820,PullRequest,Building Stable Diffusion Image History,Default,16.0,frustration,caution
SHARE_969,PullRequest_829,PullRequest,Custom Tensor Indexing,Default,5.0,frustration,caution
SHARE_976,PullRequest_834,PullRequest,Extracting Sections from CSV,Default,6.0,frustration,satisfaction
SHARE_977,PullRequest_834,PullRequest,Block PRs on test fail,Default,1.0,frustration,caution
SHARE_980,PullRequest_836,PullRequest,Using AWS with EKS,Default,9.0,frustration,satisfaction
SHARE_1055,PullRequest_905,PullRequest,Code Review: React Filters,Default,2.0,frustration,satisfaction
SHARE_1170,Issues_1009,Issues,ハンバーガーメニュー表示の修正,Default,11.0,frustration,frustration
SHARE_1176,Issues_1012,Issues,UDP Client Number Communication,Default,2.0,frustration,satisfaction
SHARE_1184,Issues_1014,Issues,New chat,Default,3.0,neutral,neutral
SHARE_1189,Issues_1017,Issues,Google Drive Image Class,Default,8.0,frustration,satisfaction
SHARE_1190,Issues_1018,Issues,Rapper Composer with Bip39,Default,3.0,frustration,satisfaction
SHARE_1191,Issues_1019,Issues,Image Inversion Error.,Default,24.0,neutral,caution
SHARE_1194,Issues_1022,Issues,OpenSSL Node.js Error.,Default,1.0,neutral,caution
SHARE_1197,Issues_1024,Issues,New chat,Default,7.0,neutral,satisfaction
SHARE_1198,Issues_1025,Issues,Table definition correction.,Default,22.0,neutral,neutral
SHARE_1199,Issues_1026,Issues,Mastery Learning and the Super Mario Effect,Default,4.0,satisfaction,satisfaction
SHARE_1201,Issues_1028,Issues,Player Table Schema,Default,35.0,neutral,satisfaction
SHARE_1203,Issues_1030,Issues,Matrix display with imshow,Default,4.0,frustration,satisfaction
SHARE_1205,Issues_1032,Issues,Create Android Sticker App,Default,1.0,neutral,satisfaction
SHARE_1206,Issues_1033,Issues,JS Regex for Identifiers.,Default,2.0,satisfaction,satisfaction
SHARE_1208,Issues_1035,Issues,Get VSCode Publisher Token,Default,4.0,frustration,caution
SHARE_1210,Issues_1037,Issues,New chat,Default,8.0,frustration,neutral
SHARE_1211,Issues_1038,Issues,Stack Trace with Async Queues,Default,3.0,frustration,caution
SHARE_1212,Issues_1039,Issues,Algolia,Default,4.0,frustration,satisfaction
SHARE_1213,Issues_1040,Issues,Thread-Safe OGRCoordinateTransformation,Default,3.0,frustration,caution
SHARE_1215,Issues_1041,Issues,Opera Voice Control Extension,Default,11.0,neutral,satisfaction
SHARE_1217,Issues_1043,Issues,Science Report Assistant,Default,9.0,neutral,satisfaction
SHARE_1219,Issues_1045,Issues,AI在语音笔记中的角色,Default,6.0,neutral,frustration
SHARE_1220,Issues_1046,Issues,Next.js Periodic Function,Default,2.0,frustration,satisfaction
SHARE_1221,Issues_1047,Issues,Blunt AI Partner,Default,3.0,satisfaction,satisfaction
SHARE_1228,Issues_1053,Issues,Schwingfest Scorecard App.,Default,19.0,neutral,satisfaction
SHARE_1231,Issues_1056,Issues,CSS Font Parsing Error,Default,3.0,frustration,caution
SHARE_1232,Issues_1057,Issues,Centering Cytoscape Layout Position,Default,3.0,frustration,caution
SHARE_1233,Issues_1058,Issues,pgRouting GSoC Repository,Default,16.0,frustration,frustration
SHARE_1234,Issues_1059,Issues,モデルセットアップとテスト,Default,51.0,frustration,frustration
SHARE_1235,Issues_1060,Issues,CEF: Chrome DevTools on selected screen,Default,3.0,neutral,satisfaction
SHARE_1237,Issues_1062,Issues,Copy HTML Node as Image,Default,2.0,frustration,satisfaction
SHARE_1240,Issues_1065,Issues,Firebase Saves Development Time,Default,5.0,satisfaction,satisfaction
SHARE_1241,Issues_1066,Issues,Ignoring venv in code.,Default,1.0,frustration,caution
SHARE_1242,Issues_1067,Issues,Jest Tests for formatCollapsingText,Default,2.0,frustration,frustration
SHARE_1245,Issues_1070,Issues,Add CSS rule to selector,Default,46.0,neutral,satisfaction
SHARE_1250,Issues_1075,Issues,Bean Retrieval: Class Details,Default,2.0,frustration,satisfaction
SHARE_1254,Issues_1077,Issues,Title: WordPress & Medium: Title Limits,Default,3.0,frustration,satisfaction
SHARE_1255,Issues_1078,Issues,Skip module on Maven.,Default,4.0,frustration,satisfaction
SHARE_1256,Issues_1079,Issues,Bun Test Notebook,Default,3.0,neutral,satisfaction
SHARE_1257,Issues_1079,Issues,Bun JS issue,Default,11.0,neutral,frustration
SHARE_1258,Issues_1080,Issues,Flutter In-App Review Behavior,Default,1.0,frustration,caution
SHARE_1260,Issues_1082,Issues,PCRE Compile and Reuse,Default,1.0,frustration,satisfaction
SHARE_1261,Issues_1083,Issues,Dockerfile for localGPT project,Default,4.0,neutral,caution
SHARE_1263,Issues_1085,Issues,Bootstrap Modal Calculator,Default,3.0,frustration,satisfaction
SHARE_1266,Issues_1088,Issues,GitHub Social Enhancer,Default,4.0,satisfaction,satisfaction
SHARE_1268,Issues_1090,Issues,Adding Success Codes,Default,2.0,neutral,satisfaction
SHARE_1269,Issues_1091,Issues,Replace Variables in Java,Default,1.0,frustration,satisfaction
SHARE_1270,Issues_1092,Issues,New chat,Default,4.0,neutral,satisfaction
SHARE_1272,Issues_1094,Issues,Markdown to Mermaid: Convert,Default,2.0,neutral,satisfaction
SHARE_1274,Issues_1096,Issues,Exploring EDA of Data.,Default,6.0,satisfaction,satisfaction
SHARE_1275,Issues_1097,Issues,AES vs SHA-256,Default,1.0,frustration,satisfaction
SHARE_1278,Issues_1100,Issues,Patch RN Image Crop Picker,Default,4.0,neutral,satisfaction
SHARE_1279,Issues_1101,Issues,Auto-associate User with Trip.,Default,1.0,neutral,satisfaction
SHARE_1280,Issues_1102,Issues,Debating TOTP vs encrypted payloads,Default,30.0,frustration,caution
SHARE_1281,Issues_1103,Issues,GitHub Action for Review,Default,10.0,frustration,satisfaction
SHARE_1282,Issues_1104,Issues,CLI Option: Empty to Null,Default,6.0,frustration,caution
SHARE_1286,Issues_1107,Issues,Pre-install NPM packages in Docker,Default,6.0,frustration,satisfaction
SHARE_1288,Issues_1109,Issues,Go Package Building for Linux,Default,2.0,satisfaction,satisfaction
SHARE_1291,Issues_1111,Issues,ディープラーニングのモデル最適化,Default,23.0,satisfaction,frustration
SHARE_1292,Issues_1112,Issues,Ruby Initialize ArgumentError,Default,1.0,frustration,caution
SHARE_1293,Issues_1113,Issues,"Add ""Integration"" Environment",Default,2.0,frustration,satisfaction
SHARE_1295,Issues_1115,Issues,Humanities Enhancing Research Communication,Default,3.0,satisfaction,satisfaction
SHARE_1296,Issues_1116,Issues,Monaco Editor: Adding Axios Types,Default,2.0,frustration,satisfaction
SHARE_1297,Issues_1117,Issues,Dynamic Pydantic Model Generation,Default,2.0,neutral,satisfaction
SHARE_1298,Issues_1118,Issues,CSV Import: Avoiding Duplicates,Default,9.0,frustration,caution
SHARE_1299,Issues_1119,Issues,Arrow operator limitations.,Default,1.0,frustration,satisfaction
SHARE_1300,Issues_1120,Issues,Mr. Ranedeer v2.6.2,Default,1.0,frustration,satisfaction
SHARE_1309,Issues_1128,Issues,Node File Structure Guide,Default,13.0,caution,satisfaction
SHARE_1311,Issues_1130,Issues,Refactor Library for Programming,Default,8.0,frustration,satisfaction
SHARE_1313,Issues_1132,Issues,Desktop UI Components.,Default,1.0,satisfaction,satisfaction
SHARE_1314,Issues_1133,Issues,Synonym Substitution: VERBOSE,Default,5.0,neutral,satisfaction
SHARE_1320,Issues_1138,Issues,Exceção para objetos não encontrados.,Default,2.0,frustration,neutral
SHARE_1321,Issues_1139,Issues,Fix Unexpected Connection State,Default,1.0,frustration,satisfaction
SHARE_1324,Issues_1142,Issues,UDP Byte Order Issue,Default,10.0,neutral,neutral
SHARE_1325,Issues_1142,Issues,New chat,Default,2.0,neutral,satisfaction
SHARE_1327,Issues_1144,Issues,"UPnP, DLNA, and Multicast",Default,14.0,frustration,satisfaction
SHARE_1328,Issues_1145,Issues,フォートナイトマップコンテストアイデア,Default,4.0,frustration,frustration
SHARE_1332,Issues_1149,Issues,프론트엔드 기술 스택,Default,88.0,neutral,neutral
SHARE_1333,Issues_1150,Issues,マークダウンドキュメントのページ分割,Default,1.0,frustration,frustration
SHARE_1334,Issues_1151,Issues,Translation Requests: Languages,Default,1.0,neutral,neutral
SHARE_1338,Issues_1155,Issues,Efficiently Count Post Comments,Default,1.0,frustration,satisfaction
SHARE_1340,Issues_1156,Issues,CORS Security for Local API,Default,1.0,frustration,caution
SHARE_1343,Issues_1159,Issues,Fix Open Library bad lccn data,Default,3.0,frustration,caution
SHARE_1344,Issues_1160,Issues,GDI Monitor Scale Factor,Default,8.0,frustration,frustration
SHARE_1346,Issues_1162,Issues,Customizing Odoo Form Tabs,Default,2.0,satisfaction,satisfaction
SHARE_1348,Issues_1164,Issues,Array Extension Fix,Default,1.0,frustration,frustration
SHARE_1350,Issues_1165,Issues,Timestamp Duration Formatter.,Default,1.0,satisfaction,satisfaction
SHARE_1351,Issues_1166,Issues,Proxy Server Error Handling,Default,10.0,neutral,satisfaction
SHARE_1352,Issues_1167,Issues,Fixing TouchableOpacity Opacity.,Default,5.0,frustration,satisfaction
SHARE_1355,Issues_1170,Issues,USB Device Identifier Fix,Default,1.0,caution,satisfaction
SHARE_1358,Issues_1172,Issues,New chat,Default,5.0,frustration,satisfaction
SHARE_1359,Issues_1173,Issues,Send OTP with Firebase-PHP,Default,1.0,neutral,satisfaction
SHARE_1364,Issues_1177,Issues,Task Clarification: Wrapper Creation,Default,5.0,satisfaction,satisfaction
SHARE_1365,Issues_1178,Issues,Function Definition Extraction,Default,3.0,frustration,satisfaction
SHARE_1367,Issues_1180,Issues,Airport Data to Dictionary,Default,10.0,neutral,satisfaction
SHARE_1369,Issues_1182,Issues,Fear Litany,Default,9.0,frustration,satisfaction
SHARE_1372,Issues_1185,Issues,dx in 81 packages,Default,6.0,neutral,caution
SHARE_1373,Issues_1186,Issues,変更の通知,Default,1.0,frustration,neutral
SHARE_1378,Issues_1190,Issues,Fix OpenSwoole Compilation Error,Default,2.0,neutral,caution
SHARE_1381,Issues_1193,Issues,MacOS linking issue with dynamic libraries,Default,2.0,frustration,satisfaction
SHARE_1384,Issues_1196,Issues,Flask Logging with Werkzeug,Default,4.0,frustration,satisfaction
SHARE_1386,Issues_1198,Issues,Rare Mendelian diseases similar to Rheumatoid Arthritis,Default,1.0,frustration,satisfaction
SHARE_1388,Issues_1200,Issues,Resolve Ubuntu 22.04 Error,Default,13.0,frustration,caution
SHARE_1389,Issues_1201,Issues,Re-implement Highlight Function,Default,1.0,satisfaction,satisfaction
SHARE_1390,Issues_1202,Issues,Laravel Symlink for Videos,Default,3.0,frustration,caution
SHARE_1392,Issues_1204,Issues,Author of ancient Chinese poetry,Default,4.0,neutral,satisfaction
SHARE_1393,Issues_1205,Issues,Customize Learning Preferences,Default,10.0,frustration,satisfaction
SHARE_1396,Issues_1208,Issues,Markdown编译错误,Default,4.0,frustration,frustration
SHARE_1399,Issues_1210,Issues,GPT4 Integrating ToT prompting,Default,18.0,satisfaction,satisfaction
SHARE_1400,Issues_1211,Issues,Odoo: Sub-task Count tab,Default,2.0,neutral,satisfaction
SHARE_1402,Issues_1213,Issues,Embed Python string in Jinja.,Default,9.0,neutral,satisfaction
SHARE_1404,Issues_1215,Issues,GUI Desktop App Actions,Default,4.0,satisfaction,satisfaction
SHARE_1406,Issues_1216,Issues,Unit Load & Prod Fix,Default,3.0,frustration,satisfaction
SHARE_1408,Issues_1218,Issues,Gates for 0 Input,Default,2.0,frustration,satisfaction
SHARE_1409,Issues_1219,Issues,Android File Access Issues,Default,1.0,frustration,caution
SHARE_1422,Issues_1222,Issues,Retrieve SQL Crime Report.,Default,7.0,caution,satisfaction
SHARE_1423,Issues_1223,Issues,"Expose headers, link libraries",Default,7.0,frustration,satisfaction
SHARE_1424,Issues_1224,Issues,Preferred Inverter Load: Resistor,Default,2.0,frustration,satisfaction
SHARE_1428,Issues_1228,Issues,Fixing GitHub Chunked Error,Default,2.0,satisfaction,satisfaction
SHARE_1430,Issues_1230,Issues,Tired Worker's Rest,Default,14.0,frustration,satisfaction
SHARE_1433,Issues_1233,Issues,Terraform Provider Panic,Default,5.0,frustration,satisfaction
SHARE_1435,Issues_1235,Issues,Fix Python Module Error,Default,1.0,frustration,caution
SHARE_1441,Issues_1240,Issues,Git Bash Docker Command,Default,1.0,neutral,neutral
SHARE_1442,Issues_1241,Issues,Offensive Phrase Clarification,Default,1.0,neutral,caution
SHARE_1444,Issues_1242,Issues,Docker DNS Configuration Differences,Default,1.0,frustration,caution
SHARE_1445,Issues_1243,Issues,Multiple IP on Linux,Default,22.0,frustration,caution
SHARE_1450,Issues_1246,Issues,Scapy DNS Packet - Secret Payload,,2.0,neutral,caution
SHARE_1487,Issues_1273,Issues,Go Gin Find One,,13.0,neutral,frustration
SHARE_1489,Issues_1275,Issues,"Random 5 numbers, GD!",,1.0,satisfaction,satisfaction
SHARE_1494,Issues_1279,Issues,Secure Express API for React Native.,,1.0,caution,caution
SHARE_1503,Issues_1288,Issues,Safari CSP Error Fix.,,2.0,frustration,neutral
SHARE_1507,Issues_1291,Issues,Tennis Tracking Improvement Plan,,2.0,satisfaction,satisfaction
SHARE_1535,Issues_1318,Issues,Bun JS issue,,11.0,neutral,frustration
SHARE_1549,Issues_1330,Issues,Crypto API Undefined Error,,1.0,frustration,caution
SHARE_1562,Issues_1343,Issues,4. Preloaded Ranking Style,,9.0,satisfaction,satisfaction
SHARE_1579,Issues_1357,Issues,Coding Expert CAN,,10.0,neutral,satisfaction
SHARE_1580,Issues_1358,Issues,Merge SQLite Databases Python,,2.0,frustration,satisfaction
SHARE_1612,Issues_1387,Issues,SQLite TTL Cache Implementation.,,4.0,frustration,caution
SHARE_1617,Issues_1392,Issues,Qt Lib Version Mismatch.,,1.0,neutral,caution
SHARE_1703,Issues_1470,Issues,Unit Load & Prod Fix,,3.0,frustration,caution
SHARE_1704,Issues_1471,Issues,Text Comparison Probability.,,5.0,frustration,satisfaction
SHARE_1748,Issues_1501,Issues,Docker CLI Access,Default,10.0,frustration,caution
SHARE_1750,Issues_1503,Issues,TS寫NPM套件,Default,1.0,neutral,frustration
SHARE_1751,Issues_1504,Issues,Halo Superintendent AI,Default,3.0,neutral,satisfaction
SHARE_1772,Issues_1516,Issues,Enhance Eventbrite Organizer Info,Default,3.0,frustration,satisfaction
SHARE_1810,Issues_1550,Issues,Android Adblocker with LLM,Default,4.0,frustration,caution
SHARE_1813,Issues_1553,Issues,OpenAPI AllOf Validity,Default,2.0,neutral,caution
SHARE_1825,Issues_1565,Issues,Minority Language Data Site,Default,1.0,satisfaction,neutral
SHARE_1826,Issues_1565,Issues,Minority Language Data Suggestions,Default,3.0,satisfaction,neutral
SHARE_1833,Issues_1566,Issues,SGTK Templates and Schema,Default,2.0,frustration,caution
SHARE_1836,Issues_1569,Issues,JSON-RPC ID Purpose,Default,14.0,frustration,satisfaction
SHARE_1864,Issues_1594,Issues,게시판 웹앱 중복 저장 해결 (4 words),Default,1.0,neutral,neutral
SHARE_1886,Issues_1615,Issues,Llama-2 Setup Guide.,Default,41.0,neutral,satisfaction
SHARE_1887,Issues_1615,Issues,Llama AI Porting Node.js,Default,25.0,frustration,satisfaction
SHARE_1906,Issues_1632,Issues,WhatsApp API Bug Discussion,Default,3.0,frustration,caution
SHARE_1908,Issues_1634,Issues,Organize docsify installation.,Default,1.0,caution,neutral
SHARE_1919,Issues_1644,Issues,Set Reconciliation Protocol Overview,Default,10.0,caution,satisfaction
SHARE_1920,Issues_1645,Issues,TMDb APIオートコンプリート機能,Default,1.0,frustration,frustration
SHARE_1929,Issues_1654,Issues,Vatsim Flight Plan Updates,Default,3.0,frustration,satisfaction
SHARE_1960,Issues_1682,Issues,GitHub Duplicate Issue Detection,Default,1.0,caution,caution
SHARE_1978,Issues_1695,Issues,MLB Caught Stealing Percentage,Default,3.0,frustration,satisfaction
